% Model:              SCtape_pde_2D_c43a_20160729_ancien.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jan 15 2026, 13:13
% Table:              Table 1 - instantaneous AC losses pd [W/m] (Pd)
% Time (s)               instantaneous AC losses [W/m] (W/m)
0                        0
2.0E-4                   1.844017922973083E-141
4.0E-4                   2.6213044455443014E-73
6.000000000000001E-4     1.3969584915682015E-49
8.0E-4                   4.694119990776961E-37
0.001                    1.9410474034868988E-27
0.0012000000000000001    1.0756961102434579E-19
0.0014                   2.9468527724149207E-13
0.0016                   6.078085118268082E-8
0.0018000000000000002    5.034659100232044E-6
0.002                    4.874662397151514E-6
0.0022                   4.5963918494805744E-6
0.0024000000000000002    4.358243263597636E-6
0.0026000000000000003    4.0923451682927305E-6
0.0028                   3.815855866055098E-6
0.003                    3.5267853023415843E-6
0.0032                   3.233392458585606E-6
0.0034000000000000002    3.1061081612511284E-6
0.0036000000000000003    5.495095431323393E-6
0.0038                   7.769966522862817E-6
0.004                    6.828110317016893E-6
0.004200000000000001     5.644789243043476E-6
0.0044                   4.490404569113182E-6
0.0046                   3.3716053046107423E-6
0.0048000000000000004    2.3224995330629105E-6
0.005                    1.4148371946265295E-6
0.005200000000000001     7.124322771567273E-7
0.0054                   2.891905258078559E-7
0.0056                   9.612907665415984E-8
0.0058000000000000005    3.150293867863273E-8
0.006                    1.177999463305537E-8
0.006200000000000001     4.367087955906098E-9
0.0064                   1.4483712502192595E-9
0.0066                   4.0793496472383396E-10
0.0068000000000000005    9.847889174537722E-11
0.007                    2.0258527599105953E-11
0.007200000000000001     3.5484983853709784E-12
0.0074                   5.277232348865642E-13
0.0076                   6.714097897631057E-14
0.0078000000000000005    7.400156414835211E-15
0.008                    6.997015996675829E-16
0.0082                   5.744628173111099E-17
0.008400000000000001     4.027007104117539E-18
0.0086                   2.466656865030339E-19
0.0088                   1.3059769632270062E-20
0.009000000000000001     5.984018680561988E-22
0.0092                   2.356271159692425E-23
0.0094                   3.744595168061933E-24
0.009600000000000001     1.122561971241137E-16
0.0098                   3.6100107786007476E-10
0.01                     1.9500544696045656E-6
0.0102                   5.949606891338912E-6
0.010400000000000001     5.925044618907202E-6
0.0106                   5.864328826155706E-6
0.0108                   5.785937458780596E-6
0.011000000000000001     5.673624902499689E-6
0.0112                   5.547819231974405E-6
0.0114                   5.396364548292388E-6
0.011600000000000001     5.233838850220879E-6
0.0118                   5.0551704049507565E-6
0.012                    4.832081556139211E-6
0.0122                   4.6056391513661146E-6
0.012400000000000001     4.367523086011006E-6
0.0126                   4.122557484601644E-6
0.0128                   4.527303140918165E-6
0.013000000000000001     1.1829269504211097E-5
0.0132                   1.1373181718172645E-5
0.0134                   1.0266791040306037E-5
0.013600000000000001     9.133763556712919E-6
0.013800000000000002     7.96615548317115E-6
0.014                    6.913310395284202E-6
0.0142                   5.692829324249717E-6
0.014400000000000001     4.4912166577109716E-6
0.0146                   3.3717236468724578E-6
0.0148                   2.3283532849878386E-6
0.015000000000000001     1.4153181060610229E-6
0.0152                   7.098834941342536E-7
0.0154                   2.793958734450874E-7
0.015600000000000001     9.282484240069033E-8
0.0158                   3.353140728534636E-8
0.016                    1.2631631596408412E-8
0.0162                   4.7593818477904185E-9
0.0164                   1.590125445265314E-9
0.0166                   4.6185399762113304E-10
0.016800000000000002     1.1275971967366852E-10
0.017                    2.364903776135421E-11
0.0172                   4.169679140733108E-12
0.017400000000000002     6.263523287193032E-13
0.0176                   8.013196817448324E-14
0.0178                   8.863712827988552E-15
0.018000000000000002     8.426452659906766E-16
0.0182                   6.865568899255188E-17
0.0184                   4.8376276374607245E-18
0.018600000000000002     2.9257281668053098E-19
0.0188                   1.5283614734735987E-20
0.019                    6.898486973421639E-22
0.019200000000000002     2.687664323934526E-23
0.0194                   2.1248353798392737E-24
0.0196                   5.238780989924011E-17
0.0198                   1.9018265538904713E-10
0.02                     2.6221701394587775E-6
