% Model:              SCtape_pde_2D_c43a_20160729_ancien.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jan 15 2026, 13:17
% Table:              Table 1 - instantaneous AC losses pd [W/m] (Pd)
% Time (s)               instantaneous AC losses [W/m] (W/m)
0                        0
2.0E-4                   9.357828175238179E-111
4.0E-4                   1.3167002038563416E-42
6.000000000000001E-4     7.178407951212166E-19
8.0E-4                   8.345914922164388E-7
0.001                    1.1461820009462106E-5
0.0012000000000000001    1.1202052574935827E-5
0.0014                   1.090415778766318E-5
0.0016                   3.6604340616108266E-5
0.0018000000000000002    3.5703431091770374E-5
0.002                    3.8576393584480645E-5
0.0022                   5.7065638238866566E-5
0.0024000000000000002    5.3815211007971396E-5
0.0026000000000000003    7.563445555971264E-5
0.0028                   8.23287929408488E-5
0.003                    7.600629620671382E-5
0.0032                   9.401046498335286E-5
0.0034000000000000002    8.748661712172046E-5
0.0036000000000000003    7.784145704661166E-5
0.0038                   7.271685817858863E-5
0.004                    8.020203622485039E-5
0.004200000000000001     6.941029962119179E-5
0.0044                   5.555532699831942E-5
0.0046                   4.154366633452191E-5
0.0048000000000000004    2.870200439998724E-5
0.005                    1.7369618302496048E-5
0.005200000000000001     8.699626438051286E-6
0.0054                   3.471128431154724E-6
0.0056                   1.1857272119154898E-6
0.0058000000000000005    3.3762824529195847E-7
0.006                    7.535883929798522E-8
0.006200000000000001     1.2900789680770617E-8
0.0064                   1.68855996276777E-9
0.0066                   1.6953114926774657E-10
0.0068000000000000005    1.2911012230049564E-11
0.007                    7.434403790192371E-13
0.007200000000000001     3.2077934153792283E-14
0.0074                   1.0170113287164786E-15
0.0076                   2.314407528247798E-17
0.0078000000000000005    3.678046805101552E-19
0.008                    3.9587810773012036E-21
0.0082                   3.387028248942664E-12
0.008400000000000001     1.046072399860484E-5
0.0086                   1.0805484140327169E-5
0.0088                   1.1113453546014293E-5
0.009000000000000001     1.1405565834329891E-5
0.0092                   1.1609066736098744E-5
0.0094                   1.178694962906739E-5
0.009600000000000001     1.1917838934470441E-5
0.0098                   4.194180766884453E-5
0.01                     4.2025752186800854E-5
0.0102                   4.1985964995819566E-5
0.010400000000000001     4.1757455880772416E-5
0.0106                   7.150120109240083E-5
0.0108                   7.135240180668773E-5
0.011000000000000001     7.008333777787177E-5
0.0112                   6.85859201221639E-5
0.0114                   7.494962646426946E-5
0.011600000000000001     1.1256866821309182E-4
0.0118                   1.0870807790059616E-4
0.012                    1.0397156501451961E-4
0.0122                   1.1425558211824773E-4
0.012400000000000001     1.3061280995991742E-4
0.0126                   1.2315777257199378E-4
0.0128                   1.1394377322383848E-4
0.013000000000000001     1.0526075502694058E-4
0.0132                   1.0114990159176738E-4
0.0134                   1.2345048934683434E-4
0.013600000000000001     1.1300278505296956E-4
0.013800000000000002     9.880844877608414E-5
0.014                    8.408877456937217E-5
0.0142                   6.957315292761166E-5
0.014400000000000001     5.540226096104513E-5
0.0146                   4.1074423556555965E-5
0.0148                   2.8070296587299405E-5
0.015000000000000001     1.6902891171175085E-5
0.0152                   8.54190634509272E-6
0.0154                   3.455631589859361E-6
0.015600000000000001     1.1891570799594071E-6
0.0158                   3.416624173589311E-7
0.016                    7.705040978757455E-8
0.0162                   1.3394465907420555E-8
0.0164                   1.7855126454290872E-9
0.0166                   1.8169200124451746E-10
0.016800000000000002     1.4073508047932973E-11
0.017                    8.247367952158337E-13
0.0172                   3.6183732872850585E-14
0.017400000000000002     1.167324667484069E-15
0.0176                   2.704516833724742E-17
0.0178                   4.376942990946617E-19
0.018000000000000002     4.805947539962013E-21
0.0182                   2.8755898647066475E-12
0.0184                   1.01259878633404E-5
0.018600000000000002     1.0800913642663153E-5
0.0188                   1.1127032946709648E-5
0.019                    1.1397167407874963E-5
0.019200000000000002     1.1614907981945077E-5
0.0194                   1.178134168045904E-5
0.0196                   1.1915250839424448E-5
0.0198                   4.204066868745641E-5
0.02                     4.20408221358745E-5
