% Model:              B.4_Cube12_PDE_version_same2D.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jan 15 2026, 21:02
% Table:              Table 3 - instantaneous AC losses pd [W/m]
% Time (s)               instantaneous AC losses [W/m] (W)
0                        6.827869102359365E-15
2.0E-4                   9.205636657387066E-4
4.0E-4                   0.0035060677414937703
6.000000000000001E-4     0.007057452570139511
8.0E-4                   0.010741278954709757
0.001                    0.014325314813590805
0.0012000000000000001    0.01739126280203149
0.0014                   0.019912185998169976
0.0016                   0.021621233492014055
0.0018000000000000002    0.022776839179095818
0.002                    0.02322691931034955
0.0022                   0.02310398876657524
0.0024000000000000002    0.022495558480580165
0.0026000000000000003    0.021512810530953032
0.0028                   0.020239197093311963
0.003                    0.0187469938977569
0.0032                   0.017153175977093617
0.0034000000000000002    0.015500979851478261
0.0036000000000000003    0.013807259742976278
0.0038                   0.01208640360625473
0.004                    0.010354782551957304
0.004200000000000001     0.008632084226159324
0.0044                   0.006943498225650199
0.0046                   0.005322704671004392
0.0048000000000000004    0.0038170246987558583
0.005                    0.002494668028294201
0.005200000000000001     0.0014499926878511304
0.0054                   7.792885390502267E-4
0.0056                   4.618503109869694E-4
0.0058000000000000005    3.2887030452178354E-4
0.006                    2.6745719165762166E-4
0.006200000000000001     2.559241780106188E-4
0.0064                   3.111204725060692E-4
0.0066                   4.967799020820108E-4
0.0068000000000000005    8.376186630820466E-4
0.007                    0.001191538544117883
0.007200000000000001     0.0019752997766747248
0.0074                   0.0031219945570296025
0.0076                   0.004383763789539172
0.0078000000000000005    0.005641911375651569
0.008                    0.007260795550657219
0.0082                   0.009169017025602414
0.008400000000000001     0.011245487308398746
0.0086                   0.013431120467723583
0.0088                   0.015526800996188214
0.009000000000000001     0.01789247572030565
0.0092                   0.020029244131859573
0.0094                   0.022112918442949398
0.009600000000000001     0.023894493163209053
0.0098                   0.025703563360394067
0.01                     0.02711418668055051
0.0102                   0.028229681828511734
0.010400000000000001     0.029068773157733506
0.0106                   0.029575499815099306
0.0108                   0.029774538728949577
0.011000000000000001     0.02968768994501935
0.0112                   0.029329763739627854
0.0114                   0.02869975229722021
0.011600000000000001     0.02782905139556041
0.0118                   0.026823804335679425
0.012                    0.025709162993069537
0.0122                   0.02449361312410518
0.012400000000000001     0.023184283299790876
0.0126                   0.02178849143860485
0.0128                   0.020313991617821478
0.013000000000000001     0.018769181814874858
0.0132                   0.017163305933665243
0.0134                   0.015506559409800703
0.013600000000000001     0.01381045710230942
0.013800000000000002     0.012088314879588384
0.014                    0.01035596545098454
0.0142                   0.008632717535276684
0.014400000000000001     0.006943464571755315
0.0146                   0.0053222607526412155
0.0148                   0.0038167689917574053
0.015000000000000001     0.002494676068819071
0.0152                   0.0014500803722344302
0.0154                   7.793810201722631E-4
0.015600000000000001     4.619211488261174E-4
0.0158                   3.2884346540172985E-4
0.016                    2.674182676294046E-4
0.0162                   2.559302819814927E-4
0.0164                   3.1112685960629197E-4
0.0166                   4.967857185720802E-4
0.016800000000000002     8.376377320815683E-4
0.017                    0.0011916238523042482
0.0172                   0.0019753448152779593
0.017400000000000002     0.0031220930914256768
0.0176                   0.00438383802813363
0.0178                   0.00564199274188718
0.018000000000000002     0.00726096347427258
0.0182                   0.009169094841617043
0.0184                   0.011245753719114192
0.018600000000000002     0.013431184108393265
0.0188                   0.015526948745914359
0.019                    0.01789235900578026
0.019200000000000002     0.020029218835712036
0.0194                   0.022112860186066757
0.0196                   0.023894310620788436
0.0198                   0.025703308932379883
0.02                     0.027114054444609265
