% Model:              SCtape_pde_2D_c43a_20160729_ancien.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jan 16 2026, 13:48
% Table:              Table 2 - instantaneous AC losses pd [W/m]
% Time (s)               instantaneous AC losses [W/m] (W/m)
0                        0
2.0E-4                   1.0233862250169759E-105
4.0E-4                   1.4394412672980432E-37
6.000000000000001E-4     7.696581529938136E-14
8.0E-4                   1.3002550051378154E-5
0.001                    1.287552647995783E-5
0.0012000000000000001    1.2565876749139012E-5
0.0014                   4.277617374621573E-5
0.0016                   4.161035965984447E-5
0.0018000000000000002    6.615520938157463E-5
0.002                    6.735475699623274E-5
0.0022                   7.022261062947482E-5
0.0024000000000000002    1.0576094929143736E-4
0.0026000000000000003    1.0187711332609649E-4
0.0028                   1.2952429327001228E-4
0.003                    1.1957454721498085E-4
0.0032                   1.501155885610612E-4
0.0034000000000000002    1.427739965992116E-4
0.0036000000000000003    1.2953924500530865E-4
0.0038                   1.3909342172038996E-4
0.004                    1.2088245928196362E-4
0.004200000000000001     9.962142457862873E-5
0.0044                   8.044709221429541E-5
0.0046                   6.82759769436788E-5
0.0048000000000000004    5.1578187895335704E-5
0.005                    3.219551693780432E-5
0.005200000000000001     1.631616062503594E-5
0.0054                   6.626615083440622E-6
0.0056                   2.287572279611417E-6
0.0058000000000000005    6.526268732021981E-7
0.006                    1.463300501149913E-7
0.006200000000000001     2.5505886752808278E-8
0.0064                   3.4322238161213766E-9
0.0066                   3.557618223574833E-10
0.0068000000000000005    2.812140865160343E-11
0.007                    1.681430285207813E-12
0.007200000000000001     7.512932509998348E-14
0.0074                   2.475067703078626E-15
0.0076                   5.928741301878172E-17
0.0078000000000000005    1.0128078695966444E-18
0.008                    4.732303223438876E-13
0.0082                   1.1372619100167096E-5
0.008400000000000001     1.1722623077621943E-5
0.0086                   1.2150292273099659E-5
0.0088                   1.2516123255215626E-5
0.009000000000000001     1.279686207011347E-5
0.0092                   1.3039733923291576E-5
0.0094                   3.1930739308997445E-5
0.009600000000000001     4.6935771649392906E-5
0.0098                   4.720047322202986E-5
0.01                     4.731808909352714E-5
0.0102                   8.245332240967359E-5
0.010400000000000001     8.234915804076181E-5
0.0106                   8.153307796356163E-5
0.0108                   8.053544581227781E-5
0.011000000000000001     1.3732039282069125E-4
0.0112                   1.3449892680389365E-4
0.0114                   1.310656633945458E-4
0.011600000000000001     1.761823610953814E-4
0.0118                   1.7046070868947342E-4
0.012                    1.6385529167144394E-4
0.0122                   1.6040511247354783E-4
0.012400000000000001     2.1329851629637225E-4
0.0126                   2.0098986267307834E-4
0.0128                   1.87902042939968E-4
0.013000000000000001     2.0180768432913007E-4
0.0132                   2.0169870108713463E-4
0.0134                   1.8220993252379388E-4
0.013600000000000001     1.623786131425681E-4
0.013800000000000002     1.4092425199323878E-4
0.014                    1.2140333029582505E-4
0.0142                   1.1214382383146236E-4
0.014400000000000001     1.0211280191382744E-4
0.0146                   7.85715827458075E-5
0.0148                   5.441106732467186E-5
0.015000000000000001     3.301351416044846E-5
0.0152                   1.6614497704401046E-5
0.0154                   6.723752581081675E-6
0.015600000000000001     2.3065296461339507E-6
0.0158                   6.567941176313553E-7
0.016                    1.4694707838838998E-7
0.0162                   2.5572044712274882E-8
0.0164                   3.442642896528721E-9
0.0166                   3.5670714478833063E-10
0.016800000000000002     2.8236211072716916E-11
0.017                    1.68869677776246E-12
0.0172                   7.531439919082606E-14
0.017400000000000002     2.4828368579309063E-15
0.0176                   5.948025981026746E-17
0.0178                   1.0162184565695285E-18
0.018000000000000002     6.959030695204563E-13
0.0182                   1.1202930920928521E-5
0.0184                   1.1721021927843268E-5
0.018600000000000002     1.2164093201624816E-5
0.0188                   1.2509495021781673E-5
0.019                    1.2790800385581662E-5
0.019200000000000002     1.3048715212272195E-5
0.0194                   3.1623469487162605E-5
0.0196                   4.686384149344414E-5
0.0198                   4.72121472095836E-5
0.02                     4.731046695809291E-5
